Conversiones,Inversion_USD,Puntaje_Creativo,Precision_Targeting,CTA_Claro,Num_Hashtags,Hora_Publicacion,Longitud_Texto,Dia_Semana
86,750,8,70,1,3,18.6,136,3
16,189,3,97,0,1,9.1,472,2
48,831,9,91,0,16,8.5,305,1
26,604,3,52,0,5,19.9,380,6
83,784,9,41,1,16,19,151,3
92,873,5,76,0,8,19.5,398,1
44,877,3,95,0,1,8.9,285,2
92,844,8,93,0,9,12.5,332,4
37,690,10,57,0,17,9.8,409,5
39,579,5,39,0,7,20.6,183,6
38,781,6,57,1,14,8.7,134,6
82,863,5,40,1,7,17.7,479,1
51,450,6,76,1,8,15.9,267,2
30,489,9,47,1,17,9.9,455,6
45,617,3,89,1,15,13.2,522,5
52,604,5,82,0,13,9.8,142,4
10,198,8,50,1,20,13.6,416,6
120,549,6,98,1,5,17.1,127,4
27,289,6,35,1,4,14.7,548,2
12,165,5,87,1,22,11.4,143,3
63,796,6,40,1,7,14.4,128,3
59,745,7,73,1,19,9.1,422,4
10,192,4,38,0,8,19.5,323,1
25,523,6,63,0,14,10.1,178,2
23,197,7,73,1,16,11.2,219,5
31,374,9,49,1,19,18.3,521,1
83,876,7,44,1,6,11.9,120,2
97,656,9,92,1,9,9.2,534,6
115,696,6,78,1,4,11.7,441,2
83,677,8,82,1,4,21.2,350,3
118,824,6,84,1,9,13.3,237,4
38,444,3,71,1,12,14.7,492,4
71,771,3,59,0,6,17.9,533,4
31,613,3,54,1,12,14.5,299,1
69,705,10,73,0,4,15.5,222,2
103,819,3,88,1,15,10.3,239,2
31,740,9,44,0,19,21.6,212,2
12,157,9,59,0,22,10.2,366,2
190,844,8,84,1,8,19.1,201,4
64,684,3,61,1,12,16.3,255,4
33,450,5,91,0,15,18.5,130,3
148,880,10,68,1,7,16.1,227,7
70,754,8,46,1,7,19,338,2
46,513,6,92,1,3,14.4,202,7
161,893,9,85,1,5,17,143,7
27,561,7,93,0,18,23.1,252,3
68,684,5,76,1,9,14.5,516,7
90,783,9,75,1,22,21.3,421,4
27,805,3,37,0,15,22.2,122,2
17,203,3,66,1,1,11.8,315,1
25,279,10,91,0,2,22.8,196,7
10,215,3,44,0,16,14,141,6
81,744,9,77,1,8,11.8,154,6
29,615,10,50,0,15,8.8,528,3
54,783,5,67,0,3,15.3,275,5
104,767,8,52,1,5,16.6,455,2
57,579,7,64,1,7,11.9,491,4
37,598,10,47,0,20,21.5,218,4
28,376,10,38,1,1,14.9,504,3
11,209,3,68,0,22,17.6,207,7
24,380,8,74,0,11,15.4,186,5
23,255,7,71,0,15,18,158,5
20,264,4,84,1,18,20.7,348,1
26,786,3,36,0,16,9.5,247,1
86,849,7,98,0,18,15.7,542,4
13,221,3,52,0,2,10.6,368,5
17,181,3,69,1,5,13.5,292,5
55,621,9,55,0,12,15.7,139,4
15,157,7,89,0,1,11.8,315,6
67,898,4,66,0,9,20.3,188,3
127,666,10,81,1,8,18.1,280,7
62,648,10,48,1,8,12.7,456,7
34,270,3,83,1,8,17.5,310,7
88,795,8,82,0,4,12.1,422,2
30,309,7,94,0,7,21.2,498,5
17,243,10,86,0,21,10,151,5
76,844,6,76,0,7,13.9,330,6
122,856,8,98,1,18,8.2,215,2
27,396,7,45,1,11,11.4,428,5
62,378,9,88,1,12,15.1,501,2
50,580,10,63,1,22,12.3,451,6
32,283,8,54,1,8,10.7,342,6
72,587,8,80,0,6,17.5,271,6
81,416,7,98,1,7,12.9,140,2
49,559,4,55,1,4,11.1,176,3
10,163,6,56,0,12,22.9,303,6
21,495,4,55,0,1,21.9,193,5
27,421,4,52,1,3,10.9,218,3
35,750,10,36,0,1,20.5,206,5
30,191,8,89,1,14,10.2,291,5
26,739,7,35,0,5,23.2,397,1
55,740,5,56,1,20,23,308,6
38,672,8,97,0,15,12.9,458,7
48,811,5,95,0,22,13.1,270,4
72,687,7,43,1,6,17.5,541,5
37,284,4,97,1,11,12.1,225,6
10,185,5,53,0,5,11.5,161,2
54,784,7,72,0,22,8.6,425,3
51,724,6,86,0,14,19.9,389,5
29,358,7,90,1,22,15.8,272,6
33,528,3,74,0,15,9.8,259,4
27,524,9,38,0,22,9,308,3
74,856,6,48,1,4,18.1,419,7
27,299,9,81,1,21,16.2,249,2
47,308,9,75,1,4,21.6,320,7
18,206,8,57,0,15,20.4,400,1
18,523,5,49,0,15,13.8,380,7
44,549,4,83,1,17,10.9,161,3
52,787,5,92,0,4,10.1,414,7
29,152,10,94,0,7,19.4,124,4
63,619,8,87,0,6,11.8,160,5
26,449,3,46,0,1,20.5,530,4
53,645,9,37,1,20,12.9,324,5
64,558,10,73,1,2,16.9,529,6
36,323,6,73,1,14,19.9,204,4
46,837,8,36,0,6,20.6,324,6
35,492,8,72,1,22,23.4,452,7
25,330,9,71,0,14,18,173,1
35,510,4,65,1,19,9,496,3
50,772,5,82,1,4,8.4,467,6
34,522,10,39,0,3,15.7,347,3
105,863,9,60,1,3,8.9,262,5
45,439,6,97,1,20,19.9,159,6
28,573,3,43,1,8,15.1,330,7
14,169,9,57,1,22,20.7,522,1
39,716,6,64,0,15,17,282,2
47,453,3,53,1,10,20.4,124,1
68,566,7,70,1,11,10.4,453,6
24,425,3,67,0,15,9.1,228,2
56,754,5,43,1,11,19.1,128,7
46,860,7,53,0,1,14.9,339,1
28,315,6,91,0,8,17.9,236,2
33,464,4,58,1,5,16.2,444,1
108,878,9,59,1,3,16.7,190,1
19,229,9,54,0,2,20.9,461,2
46,857,3,55,0,15,16.8,485,5
66,656,7,68,0,10,19.1,292,1
135,853,7,95,1,1,12.7,155,4
31,435,4,38,1,19,20.3,266,4
27,343,8,67,0,12,18.4,160,7
45,285,9,54,1,8,13.9,225,2
93,632,5,80,1,7,15.5,346,5
41,596,7,41,1,12,9.4,317,2
48,392,6,73,1,2,14.2,247,2
25,262,9,60,1,15,8.3,372,3
14,372,4,78,0,15,8,528,2
26,462,6,56,0,10,15.9,540,6
34,218,10,58,1,2,20.9,292,2
24,572,4,44,0,5,8.2,459,7
44,552,4,67,0,3,12.2,291,3
28,573,7,50,0,20,9.9,421,6
39,353,5,80,1,2,22.4,529,2
33,700,5,41,0,15,12.7,348,3
20,344,4,64,0,16,12.7,189,4
55,518,9,52,1,1,16.1,234,4
33,817,6,54,0,16,11.8,171,3
25,370,6,35,1,12,11.4,414,4
23,247,7,92,0,19,23,274,5
16,195,6,92,1,20,14.6,248,2
79,881,10,94,0,17,13.4,124,1
24,435,8,93,0,21,22.2,293,7
16,277,7,42,0,14,21.4,250,1
94,859,9,65,0,13,19.1,366,3
60,783,8,98,1,17,11.5,520,7
70,842,9,90,0,12,17,263,6
91,590,10,98,0,7,20.2,465,7
27,260,8,82,1,16,19.9,326,5
101,725,6,66,1,11,17.3,267,3
22,236,8,63,1,6,22.8,169,7
10,160,10,50,0,3,11.6,296,7
128,790,8,85,1,14,17.8,297,3
26,211,6,87,1,19,21.1,292,4
16,658,7,41,0,17,8.8,446,6
56,404,7,80,1,4,15.2,409,1
13,258,6,35,0,19,18.1,365,2
20,585,3,35,0,10,18.6,418,7
11,182,7,47,1,2,11.5,451,6
46,894,3,51,1,11,22.2,223,5
61,836,6,69,1,22,12.8,215,6
46,579,4,40,1,12,9.8,500,2
51,505,6,73,1,15,21.3,218,3
76,557,8,76,1,4,10.1,480,7
10,156,5,68,0,19,22,368,7
35,444,9,98,0,19,22.4,264,7
22,347,6,59,1,14,8.4,389,2
78,673,10,88,1,18,15.2,282,6
27,720,5,47,1,14,23.3,486,7
65,887,5,73,1,17,8.4,436,5
17,198,6,56,1,5,15.6,327,3
91,738,6,58,1,14,18.8,501,2
43,681,6,64,1,15,13.9,142,6
29,398,3,69,1,5,22.3,204,1
30,450,5,86,0,20,19,225,1
52,889,3,66,1,6,10.9,543,7
19,339,6,65,0,10,19.3,348,6
69,810,4,85,0,10,12.8,136,1
64,739,3,49,1,3,18.9,198,7
77,831,9,80,1,18,12.3,512,6
40,749,8,71,0,1,12.9,266,1
18,423,10,40,0,17,11.1,455,2
62,435,9,96,1,14,14.5,187,4
96,813,6,96,1,8,11.9,255,6
53,489,8,88,1,19,9.6,160,5
52,693,9,84,0,8,15.4,191,6
33,405,9,70,0,6,20,483,3
16,453,3,87,0,20,16.8,340,6
121,871,6,73,1,7,13.7,209,5
75,678,9,66,1,16,14.8,483,1
47,726,8,41,0,6,9.3,347,7
43,881,10,45,0,19,11.2,273,7
49,352,5,64,1,5,19.8,191,5
41,246,9,86,1,3,10.5,457,4
15,225,3,92,0,17,19.6,334,5
15,367,5,50,0,20,12.9,426,3
88,631,7,72,1,7,10,245,3
15,165,3,42,1,5,13.6,355,2
15,159,7,54,1,16,21.5,520,2
113,857,6,50,1,9,19.9,293,2
65,684,3,68,1,5,16.2,487,7
61,891,10,63,1,15,21.1,367,6
51,847,9,93,0,10,23.4,154,6
14,261,4,89,0,20,20.8,454,4
27,747,4,51,0,18,10.4,428,2
40,402,10,41,1,11,15.3,480,2
31,743,3,75,0,14,12.6,140,4
57,608,10,63,1,22,15.1,460,7
26,201,10,88,0,5,8,353,3
29,750,6,72,0,19,11.3,308,6
59,726,7,58,1,4,21.1,518,1
26,154,10,95,1,11,15.2,226,3
67,832,4,48,1,10,22.5,427,7
118,792,7,86,1,20,20.3,138,1
21,456,3,42,1,16,18.8,355,2
57,764,9,88,0,22,21.1,381,2
31,255,8,66,1,22,16.1,122,2
104,839,10,80,0,5,10.9,141,4
12,154,8,52,1,5,8.5,547,5
13,166,5,46,1,22,14,421,5
33,473,6,87,1,21,10.8,428,7
38,874,7,35,0,8,8.2,175,6
35,549,7,51,0,9,21.1,154,4
47,648,10,66,0,9,23,124,1
33,219,9,98,1,8,15.5,322,7
35,338,9,63,1,17,22.4,180,7
25,546,5,66,0,9,23.3,321,2
22,267,4,45,1,7,16.5,193,5
48,779,3,67,1,22,8.5,399,2
67,498,9,81,1,12,17.4,500,6
80,815,8,56,1,19,20.6,429,4
79,860,7,80,1,19,23.4,449,4
72,894,9,78,1,20,22.4,513,5
12,251,5,52,1,17,8.5,295,4
37,867,5,65,0,22,17.9,331,1
140,844,7,84,1,2,13.5,377,2
49,696,6,66,0,7,9.9,471,6
41,643,8,36,1,17,11.1,390,5
33,327,10,61,1,5,21,527,6
14,165,8,41,1,6,18.7,209,3
33,714,4,85,0,20,11.8,490,1
70,789,4,59,1,7,9.5,463,7
17,354,4,50,0,13,19.1,274,3
126,892,10,58,1,12,22.4,395,1
64,835,7,41,0,9,20.6,497,1
54,591,10,66,1,9,11.5,336,7
65,547,3,89,1,7,20.5,254,5
74,754,4,83,1,20,12.5,316,2
74,675,5,84,1,9,15.8,171,2
11,203,9,44,0,22,15.1,499,6
146,853,9,90,1,7,10.3,505,2
66,639,3,89,1,18,17.1,477,6
26,204,3,83,1,9,20.1,243,6
19,208,3,53,1,11,18.1,414,4
45,549,6,67,0,4,15.5,310,1
29,798,5,38,1,22,11.3,206,6
49,732,4,76,0,19,9.8,363,2
85,570,8,63,1,7,13.5,349,2
16,247,5,67,1,15,16,511,7
35,579,3,45,1,19,21.7,216,5
47,704,6,55,0,20,10.7,481,4
51,288,9,96,1,12,19,549,3
98,810,10,85,0,10,22.2,208,1
35,399,4,86,1,16,12.3,246,7
11,331,5,35,0,1,11.7,257,5
19,356,4,43,0,4,16.2,394,5
68,840,4,68,1,3,8.1,473,4
34,464,3,75,1,22,17.5,281,1
15,240,4,63,1,14,14.6,333,5
13,258,4,67,0,4,8.9,280,5
28,510,6,57,1,20,17.8,374,7
36,683,3,72,0,6,10.1,143,3
23,383,5,65,0,13,16.7,506,2
51,769,5,57,0,8,22.4,321,7
16,433,9,44,0,19,10.2,190,6
45,718,4,63,0,10,21.8,419,2
34,648,4,71,0,8,8.3,425,6
14,210,6,46,1,15,12.5,500,7
70,794,9,50,0,5,12.2,383,3
28,580,3,73,0,22,19.3,303,3
63,578,9,85,0,10,22.4,338,4
92,880,6,51,1,11,16.6,438,4
19,407,6,56,0,5,13.8,453,6
88,821,6,52,1,1,10.3,407,2
34,487,4,79,0,8,12.2,464,5
46,506,5,51,1,15,20.7,486,5
45,508,10,55,1,21,19.8,330,2
61,517,5,77,1,14,20.6,153,3
16,609,4,36,0,15,23,500,5
86,562,9,97,1,7,15.9,217,6
40,687,5,41,0,6,18.1,525,5
34,635,4,98,0,21,11.3,344,7
104,848,7,61,1,2,19.3,293,5
103,635,7,58,1,6,17.7,446,4
60,347,5,89,1,10,20.1,446,5
41,863,3,58,0,21,17.4,307,4
70,781,4,66,1,16,17.3,376,2
42,570,8,35,1,16,14,259,4
72,662,3,81,1,11,11.8,160,7
84,780,8,76,1,8,13,287,7
13,244,5,61,0,14,12.7,258,1
14,163,9,75,0,9,10.5,539,6
25,365,3,37,1,9,18.7,259,1
63,627,6,89,1,1,23,543,7
54,693,10,78,0,12,16.5,442,2
34,619,4,41,1,4,8.8,419,7
47,707,4,82,0,14,18.9,154,4
57,662,8,84,1,16,22.2,488,7
36,360,5,64,1,3,21.3,217,7
30,284,10,61,1,5,15.6,476,1
28,325,3,88,1,13,11.1,273,7
80,808,4,93,0,10,13.3,316,4
57,564,10,68,1,7,8.1,476,7
62,789,7,54,1,14,23,369,1
23,256,10,35,1,3,22.8,487,2
62,756,3,88,0,13,18.7,186,1
26,334,7,46,1,15,15.7,136,2
82,548,9,92,1,10,12.8,398,6
127,743,8,95,1,4,18.5,283,4
16,402,5,57,0,14,15.1,272,7
67,817,7,88,0,22,11.6,336,5
63,681,5,47,1,14,20.3,534,3
28,392,3,61,1,7,14.5,308,4
29,252,7,80,0,7,21.1,355,3
29,533,10,48,0,19,20.1,374,4
41,368,6,74,1,6,21,426,6
12,336,5,67,0,17,8.6,303,2
18,188,3,95,0,7,16.1,452,3
20,349,3,42,1,10,13.8,246,7
31,300,8,59,0,10,17,374,1
44,632,5,56,1,3,21.9,243,3
32,553,4,36,0,8,15.3,287,2
78,472,10,72,1,2,12.3,425,1
27,404,10,49,1,22,23.4,205,3
25,246,6,73,1,20,17.3,319,3
35,595,6,51,1,5,9.7,451,6
11,243,5,35,0,12,10.2,416,3
87,835,9,55,1,3,9.2,363,5
46,508,8,36,1,10,12.8,173,2
81,810,10,50,1,13,16,427,5
41,606,6,79,0,6,15.7,277,7
100,752,5,66,1,12,17.4,480,1
73,500,7,77,1,11,21.5,279,4
70,734,3,58,1,7,21.3,133,1
95,713,5,71,1,5,22,206,2
24,643,3,41,0,12,20.5,121,7
43,549,4,74,1,1,10.2,289,7
91,862,9,95,0,1,22.5,327,5
14,264,3,56,1,13,20.4,338,6
47,618,10,76,1,20,11,268,7
45,584,8,55,0,3,16.2,469,1
59,856,7,52,0,8,11.8,454,5
48,670,10,45,0,9,13.4,301,3
51,372,8,98,1,13,8.4,208,6
46,801,9,78,0,11,9,144,6
29,426,4,45,1,11,10.8,463,7
54,576,8,69,1,15,15.5,227,3
22,533,6,70,0,4,8.7,469,6
44,589,8,49,1,14,21.2,527,3
26,329,7,51,1,7,12.5,495,1
15,190,8,56,0,1,18.9,143,2
70,895,8,66,1,22,8.8,306,5
77,669,9,76,0,13,11,255,3
22,277,4,56,1,16,14,503,1
11,212,7,86,0,14,12,193,7
29,448,5,92,1,17,23.2,450,3
116,650,6,96,1,2,20,445,1
72,729,6,71,1,11,22.7,186,6
33,431,6,96,0,3,14.4,301,6
25,580,8,44,0,2,16.3,436,1
10,198,6,59,0,16,9.2,133,7
38,479,9,41,1,10,20.4,228,7
45,842,4,71,0,16,12.7,131,6
71,698,9,90,1,22,13.7,161,5
98,677,8,67,1,5,17.3,130,6
61,612,10,48,1,4,18.6,451,6
13,193,7,81,1,18,23.4,469,2
43,778,4,39,1,18,17.3,538,3
40,639,3,40,1,21,20.3,395,5
46,634,4,43,1,11,22,346,3
32,337,8,60,0,6,15.9,213,3
52,667,5,80,0,9,17,394,7
81,777,6,68,1,11,23,284,2
26,432,5,38,1,21,15.9,379,6
78,876,7,75,1,14,10.2,482,1
17,304,5,60,0,6,15.9,254,5
128,882,6,85,1,5,15,228,1
82,782,7,75,1,19,19,292,6
76,513,7,98,0,6,10.7,404,4
47,531,6,49,1,15,11.8,293,1
32,697,6,35,0,18,12.9,519,3
43,583,10,44,1,14,11.1,437,6
93,682,9,94,1,10,8.7,546,7
17,180,7,91,0,7,15.1,320,2
43,717,3,63,0,13,17.2,372,6
20,215,4,85,1,9,15.2,447,5
47,311,7,84,1,15,14.8,183,2
16,327,6,46,0,4,13.2,129,7
76,850,9,66,0,2,17.9,376,5
26,763,6,43,0,15,8.4,417,3
56,386,8,63,1,5,16.5,385,2
86,755,8,80,0,5,21.1,178,2
10,184,8,55,0,18,8.6,526,6
21,390,3,43,1,2,12.5,503,6
10,178,3,36,0,9,20,279,6
134,728,10,77,1,14,17.6,486,4
33,436,7,38,1,21,13.6,340,2
19,163,7,95,1,20,21.2,162,1
32,519,9,66,0,6,23.3,416,1
29,653,4,77,0,22,20.8,497,1
41,636,10,51,0,15,8.1,380,4
66,525,10,98,1,20,21.5,426,4
48,469,8,45,1,13,12.5,508,5
64,770,4,67,1,22,10,384,7
56,388,8,94,1,15,12.3,463,4
17,353,6,63,0,17,9.4,185,6
23,275,3,66,0,6,10.2,191,3
21,260,3,88,0,9,18.3,391,3
22,529,6,48,0,5,23,194,7
49,756,4,79,0,1,13.6,270,6
92,689,3,82,1,1,17.2,315,4
26,365,3,95,0,11,20.7,306,1
16,177,10,41,1,9,15.1,494,1
46,606,4,96,0,4,20.4,358,4
52,628,4,49,1,18,15.6,265,2
60,734,9,43,1,20,19.4,340,6
23,335,7,35,1,9,13.8,161,2
76,564,9,52,1,6,13.6,212,5
36,640,3,53,1,18,19.1,414,4
81,759,10,50,1,1,12.3,532,2
59,717,9,59,1,14,13.9,550,2
57,613,5,67,0,6,21.3,474,4
34,316,3,91,1,20,17.7,298,2
41,333,6,97,1,10,21.2,230,6
51,667,8,50,0,15,19.6,316,2
31,393,10,49,1,2,16.4,153,5
31,652,4,37,1,11,13.1,483,5
102,662,8,88,1,7,16.3,383,6
28,313,7,76,0,2,12.4,405,2
25,311,5,60,1,15,16.4,479,5
50,268,5,94,1,8,10.1,546,2
35,487,3,82,1,16,13.7,525,4
63,689,9,42,1,22,9.3,410,2
87,796,6,56,1,15,19.7,138,5
18,298,5,92,0,11,13,291,5
38,364,5,86,1,11,10.4,450,1
104,784,6,66,1,1,18.8,258,5
51,804,9,45,0,14,8.6,210,2
59,385,6,83,1,3,21.8,391,5
86,826,9,92,1,14,10,342,6
30,291,8,71,1,5,22.2,175,6
10,188,3,55,0,19,16.4,484,2
46,646,5,72,1,22,15.7,279,5
10,175,5,82,0,17,17.3,246,5
29,501,4,80,0,18,12.9,235,2
24,305,10,38,1,15,8.9,470,4
54,576,7,76,1,3,23,510,6
109,571,8,78,1,5,14.1,530,3
64,828,7,88,0,11,23.1,230,7
75,634,10,65,1,2,17.9,197,1
32,545,6,45,1,19,11.7,229,2
45,868,7,44,0,22,21.4,388,5
111,774,4,80,1,7,22.6,264,2
65,826,5,69,1,13,19.4,331,6
42,728,10,83,0,21,10.5,148,7
15,219,4,41,1,2,17.8,504,1
22,660,4,40,0,5,21.3,421,1
61,685,7,37,1,12,12.1,490,5
20,220,6,83,1,3,21.1,342,7
58,895,3,67,1,4,13.3,512,7
58,390,9,90,1,13,16.3,204,7
28,465,6,69,0,12,22.5,273,2
20,273,5,79,0,2,19.8,498,5
29,337,3,61,1,1,9.6,453,3
26,355,5,67,1,20,13.4,496,6
45,386,3,76,1,5,16.6,440,1
41,834,4,41,0,7,15.9,311,5
10,279,5,56,0,21,12.7,140,2
17,160,7,79,1,13,19.5,494,6
27,310,10,57,0,3,20.7,500,1
19,160,5,98,0,6,19.1,262,2
44,603,9,50,0,12,15.8,522,5
43,762,7,36,1,22,12.5,328,6
22,488,10,41,0,19,22.1,277,3
50,448,7,73,1,18,15.4,508,4
41,261,6,87,1,21,18.2,459,2
16,176,6,60,1,9,11.1,381,1
14,262,3,95,0,9,13.4,274,6
10,175,3,47,1,9,14.1,170,4
34,765,8,68,0,14,8.1,246,1
63,338,9,90,1,1,12.4,515,2
29,303,4,98,1,9,15,172,6
51,751,9,50,1,18,21.3,362,3
16,232,6,58,1,18,20.4,138,1
87,834,3,90,1,11,21.9,164,1
96,762,10,56,1,16,17.6,254,3
12,174,5,68,1,5,8.8,222,5
60,699,10,58,0,5,19.9,273,2
72,748,9,58,1,8,21,224,5
83,636,10,80,1,8,20.2,180,1
47,499,7,87,1,6,13.2,370,6
32,442,8,64,0,20,19,331,7
79,819,5,72,1,9,22.5,276,4
28,384,9,67,0,22,20.4,212,4
90,837,8,88,0,2,9.8,139,3
12,285,4,46,0,6,16.3,404,2
35,456,5,76,0,5,17.7,231,1
72,477,10,63,1,3,15.6,531,5
37,476,8,38,1,17,21.9,436,1
36,485,9,92,0,22,12.6,546,4
56,572,3,49,1,7,13.2,326,3
14,216,6,63,0,2,8.1,296,2
13,220,5,79,0,15,18.4,280,5
20,256,4,62,1,16,22.5,455,6
21,416,3,58,0,19,20.2,143,6
54,703,6,91,0,19,21.8,189,5
28,338,5,57,0,3,20.7,325,1
34,783,5,35,0,16,11.7,280,2
33,326,9,97,0,1,14.1,423,1
10,210,5,46,0,19,14,479,1
51,518,7,63,1,10,15.4,128,2
27,312,3,72,1,7,12.7,410,4
13,159,8,44,1,8,10.9,201,3
37,768,5,79,0,20,15.9,193,4
54,686,6,75,1,13,14.5,250,7
56,348,10,70,1,6,21,382,3
58,709,7,51,0,15,17.5,514,2
53,767,7,90,0,1,11.2,138,7
68,413,10,80,1,6,9.1,199,1
54,369,9,84,1,13,13.7,306,6
70,469,9,89,1,2,21.2,446,5
38,731,4,55,1,20,9.8,512,7
15,164,4,61,0,4,19.7,377,4
14,298,4,50,0,19,18.7,138,6
62,320,8,72,1,7,14.3,493,4
16,264,8,92,0,22,14.2,204,4
36,326,9,43,1,4,12.4,522,3
131,849,6,88,1,10,10.6,277,2
31,462,3,60,1,2,8.3,331,7
21,185,7,82,1,19,17.9,160,5
58,685,8,65,0,8,9.2,337,3
52,424,5,83,1,7,22.5,363,4
95,805,8,86,1,14,22.5,227,2
61,504,9,54,1,1,15.4,320,4
61,589,9,81,0,1,18.9,347,7
93,706,7,85,0,8,17.9,374,5
22,275,6,86,0,20,10.5,297,3
51,607,5,67,1,7,8.4,534,6
18,246,3,75,1,17,15.8,214,7
60,564,4,86,0,8,17.4,357,7
64,832,7,60,0,20,20.9,483,3
33,676,6,36,0,2,17.2,121,1
66,619,9,55,1,14,20.6,476,2
40,768,10,41,1,21,9.3,314,1
28,415,4,60,1,22,12.9,195,3
12,217,7,41,1,22,8.1,427,1
21,208,8,51,1,1,14.9,471,2
95,879,7,68,1,18,14.2,242,3
15,392,4,40,0,1,16,344,2
66,835,5,83,0,7,15.3,483,7
44,343,8,83,1,2,8.8,207,2
73,815,8,73,0,16,10.1,536,2
53,706,7,61,0,10,21.7,259,6
49,478,3,85,1,3,12.7,222,7
64,713,7,82,1,18,13.6,410,7
81,828,6,90,0,7,10.5,313,1
63,667,4,76,0,1,17.2,303,4
29,532,8,42,0,20,10,136,4
14,265,3,36,1,9,8.5,282,5
35,533,5,39,1,19,13.9,167,3
25,255,6,76,1,1,16.4,377,5
22,161,10,85,1,3,10.5,460,7
14,163,6,83,1,18,16.3,324,1
35,600,3,96,0,15,14.6,431,6
34,369,10,72,1,2,11.5,478,1
59,792,3,70,0,11,9.1,150,5
78,565,9,70,1,9,19.6,155,5
71,811,10,35,1,8,18.8,364,5
29,198,5,87,1,3,19.5,300,6
29,275,10,74,0,6,8.5,239,1
30,294,7,64,1,13,21.9,350,1
50,721,5,79,0,7,10.8,511,6
44,407,10,83,1,6,10.3,522,7
33,390,4,63,1,16,13.5,181,1
45,444,9,51,1,22,10.6,215,5
29,446,4,40,1,1,21.2,251,7
148,664,8,98,1,7,13.7,235,1
20,315,3,96,1,19,11.2,399,1
32,301,8,54,1,14,19,504,7
46,664,8,98,0,19,15.9,494,3
132,846,9,74,1,14,17.7,465,1
39,561,5,45,1,2,22.6,438,6
32,276,10,72,0,10,13.3,534,4
63,756,8,53,1,12,15,303,1
84,823,9,57,1,21,18.7,193,6
22,683,4,43,0,1,9.8,307,5
59,792,5,76,1,18,15.9,445,2
44,399,6,73,1,22,20.8,420,7
98,652,9,92,1,18,15.5,272,5
64,496,9,84,1,1,16.4,232,6
49,821,3,44,1,21,9.1,229,4
16,180,10,65,0,8,19.8,471,1
61,790,8,64,1,14,19.3,512,7
69,899,10,89,0,2,16.3,357,5
22,416,3,44,0,8,17.7,501,6
28,192,9,97,1,1,18.1,338,4
26,367,5,54,1,18,15.9,487,6
95,797,4,82,1,14,17.3,504,7
25,225,6,98,1,14,8.4,176,6
52,441,10,94,1,20,11.9,151,4
53,712,6,47,1,19,11.6,340,5
22,557,3,41,0,5,16,540,4
116,686,9,95,1,3,21.5,222,3
44,457,10,36,1,1,12.1,260,3
46,764,6,42,0,20,18.1,292,4
10,159,8,35,0,14,16.3,383,3
16,192,3,76,0,2,20.6,438,5
40,581,6,43,1,19,21.8,324,1
88,866,6,58,1,1,22.2,159,1
32,335,10,94,0,12,14.7,451,7
57,827,4,86,0,12,21.6,195,5
65,836,6,65,1,9,19.6,231,6
74,815,9,85,0,20,8.9,409,3
41,518,10,51,1,12,22.6,344,7
12,211,9,44,0,13,9,205,1
89,790,7,48,1,11,10.1,425,3
60,844,10,92,0,12,23.3,247,1
51,566,3,92,1,3,14.8,345,1
40,471,6,54,1,1,9.8,147,4
37,503,9,63,0,7,14.4,313,3
28,348,6,51,1,7,14.3,403,5
32,353,4,92,1,19,13.5,413,3
70,430,10,82,1,7,9.4,296,6
59,786,9,86,1,20,12.7,521,7
18,182,7,48,1,13,21,399,7
13,201,9,66,0,19,15.1,319,2
48,469,10,72,0,21,20.6,301,2
23,236,7,54,1,4,22.3,535,5
38,672,7,39,0,14,14.4,323,4
25,297,8,67,0,4,19.9,362,3
34,319,10,59,1,18,11,471,2
99,867,10,95,0,9,13.4,245,2
19,516,6,47,0,16,23,250,3
12,414,4,43,0,21,10.2,474,7
27,421,5,68,1,16,21.4,520,7
20,512,5,46,0,19,8.3,504,6
33,344,4,64,1,4,16.4,544,5
35,667,4,89,0,17,18.7,253,7
39,657,8,57,1,19,8.5,461,2
52,898,4,71,1,22,14.5,548,7
30,607,4,43,1,17,10.9,474,7
28,544,5,86,0,1,22.4,122,6
28,310,7,54,1,17,13,183,3
79,555,9,91,1,4,12.4,390,1
29,619,8,53,0,20,15.3,246,2
22,271,4,81,0,4,22.1,149,7
24,496,7,56,0,4,15.6,163,6
151,831,4,90,1,8,19.4,339,2
28,281,4,45,1,11,20,151,3
86,603,10,81,1,7,10,257,2
84,874,10,73,0,22,13.1,250,4
68,523,8,95,0,2,14.2,334,2
66,634,4,83,1,15,21.5,313,3
30,411,8,38,1,15,11.8,167,4
98,677,7,93,1,10,16.3,383,2
134,899,7,88,1,18,20.9,184,4
60,898,6,77,0,16,11.4,196,5
23,485,8,46,0,10,12.5,338,7
22,225,10,46,1,13,14.1,474,2
51,378,6,91,1,19,14.9,309,4
55,823,7,50,1,12,21.4,283,1
24,436,3,74,0,21,9.4,141,2
14,216,10,61,1,19,9,249,7
66,623,9,91,0,5,18.8,467,2
20,224,7,54,1,17,20.9,275,4
72,690,6,67,1,15,13,400,1
35,845,7,35,1,21,12.1,290,5
31,435,4,50,1,3,16.9,216,3
42,378,5,69,1,2,12.5,227,1
54,488,8,78,1,11,23.2,450,2
75,671,10,67,1,8,12.4,127,6
93,629,10,98,0,7,13.1,425,4
15,276,7,57,0,17,10.2,153,7
31,618,4,55,0,15,14,207,4
53,469,4,92,1,9,20.7,172,4
